city,unit,model,outcome,target,spec,beta,se,z,pct,lo,hi,n,se_ratio_vs_naive,note,se_ratio_vs_cluster,beta_shift_vs_cluster,pct_shift_vs_cluster,lambda_spatial
sfgov,cell,relative height (TPI 500 m),n_total,tpi_500_z,b. Conley HAC 500 m,-0.0757787358069266,0.02636069016210637,-2.874687094340911,-7.297869951141145,-11.96587728332883,-2.382341637532559,7269,6.569750991068633,Bartlett kernel in distance; point estimate unchanged,0.8648378506493998,,,
sfgov,cell,relative height (TPI 500 m),n_total,tpi_500_z,b. Conley HAC 1000 m,-0.0757787358069266,0.02747475100651087,-2.7581227501923062,-7.297869951141145,-12.157895289104637,-2.1689548095534583,7269,6.84740314249669,Bartlett kernel in distance; point estimate unchanged,0.9013878036378254,,,
sfgov,cell,relative height (TPI 500 m),n_total,tpi_500_z,b. Conley HAC 2000 m,-0.0757787358069266,0.025775289756557348,-2.93997609814059,-7.297869951141145,-11.864810299220874,-2.4942824225909543,7269,6.423854397660915,Bartlett kernel in distance; point estimate unchanged,0.8456321156936406,,,
sfgov,cell,relative height (TPI 500 m),n_total,tpi_500_z,b. Conley HAC 4000 m,-0.0757787358069266,0.017636451171289008,-4.296711116706372,-7.297869951141145,-10.447593098390385,-4.037365237571544,7269,4.395449885757129,Bartlett kernel in distance; point estimate unchanged,0.578614233173093,,,
sfgov,cell,relative height (TPI 500 m),n_total,tpi_500_z,c. eigenvector spatial filter (50 EVs),-0.07203691181396887,0.03009429961458252,-2.3937062080375715,-6.950345113820477,-12.28012952902363,-1.296727549297494,7269,7.500260937880603,Moran eigenvectors as covariates; SEs still clustered,0.9873295894539252,0.0037418239929577213,0.34752483732066786,
sfgov,cell,relative height (TPI 500 m),n_total,tpi_500_z,d. Gaussian SEM on log rate,-0.007125930577836255,0.020056311581988347,-0.3552961644371205,-0.7100601335055301,-4.537463295133715,3.27079605239049,7269,,"LINEAR APPROXIMATION, not comparable to Poisson beta",,,,-0.6871465093147361
sfgov,cell,theft (all loot classes),n_theft,slope_deg,0. naive (independence),-0.0800016802253936,0.0014670532495373774,-54.53222659138068,-7.6885204655587565,-7.953573890197763,-7.422703803052933,7269,1.0,"reference denominator only; assumes independence, not to be quoted",,,,
sfgov,cell,theft (all loot classes),n_theft,slope_deg,a. cluster-robust (primary),-0.0800016802253936,0.010094604951214352,-7.925191784327293,-7.6885204655587565,-9.496992693639283,-5.843910523416785,7269,6.880871539187551,SEs clustered on block group,,,,
sfgov,cell,theft (all loot classes),n_theft,slope_deg,b. Conley HAC 500 m,-0.0800016802253936,0.009991302934626667,-8.007131877478493,-7.6885204655587565,-9.478666517836087,-5.862972560864899,7269,6.8104569058944096,Bartlett kernel in distance; point estimate unchanged,0.9897666112654305,,,
sfgov,cell,theft (all loot classes),n_theft,slope_deg,b. Conley HAC 1000 m,-0.0800016802253936,0.010396321578891185,-7.6951909979227615,-7.6885204655587565,-9.550497145592685,-5.788213479137516,7269,7.086533213548708,Bartlett kernel in distance; point estimate unchanged,1.029888898984654,,,
sfgov,cell,theft (all loot classes),n_theft,slope_deg,b. Conley HAC 2000 m,-0.0800016802253936,0.010153758562531897,-7.879021323257142,-7.6885204655587565,-9.507485101622837,-5.832993332022185,7269,6.921192919025807,Bartlett kernel in distance; point estimate unchanged,1.0058599233554384,,,
sfgov,cell,theft (all loot classes),n_theft,slope_deg,b. Conley HAC 4000 m,-0.0800016802253936,0.009830337385865504,-8.138243590746292,-7.6885204655587565,-9.450103212726724,-5.892667400199159,7269,6.700736588099591,Bartlett kernel in distance; point estimate unchanged,0.9738209106125488,,,
sfgov,cell,theft (all loot classes),n_theft,slope_deg,c. eigenvector spatial filter (50 EVs),-0.09058938964384265,0.011127138103476873,-8.141301815561755,-8.660731759496054,-10.631201994453644,-6.646815120049354,7269,7.584685904881585,Moran eigenvectors as covariates; SEs still clustered,1.102285642405284,-0.010587709418449054,-0.9722112939372973,
sfgov,cell,theft (all loot classes),n_theft,slope_deg,d. Gaussian SEM on log rate,-0.054807084199218294,0.00569059955648254,-9.631161647419718,-5.333224249270286,-6.383230696847231,-4.2714409208186925,7269,,"LINEAR APPROXIMATION, not comparable to Poisson beta",,,,-0.6846434781263612
sfgov,cell,no-loot (vandalism/arson),n_NO_LOOT,slope_deg,0. naive (independence),-0.08253068918750885,0.0030720973720708665,-26.864607202172056,-7.921682066445435,-8.47444838219442,-7.365577332140916,7269,1.0,"reference denominator only; assumes independence, not to be quoted",,,,
sfgov,cell,no-loot (vandalism/arson),n_NO_LOOT,slope_deg,a. cluster-robust (primary),-0.08253068918750885,0.013294793735654765,-6.2077449886396625,-7.921682066445435,-10.29004884640825,-5.490789768050142,7269,4.32759516560925,SEs clustered on block group,,,,
sfgov,cell,no-loot (vandalism/arson),n_NO_LOOT,slope_deg,b. Conley HAC 500 m,-0.08253068918750885,0.012915851270403208,-6.389876087891216,-7.921682066445435,-10.223394072621005,-5.560958270899508,7269,4.204245408307737,Bartlett kernel in distance; point estimate unchanged,0.9714969278360982,,,
sfgov,cell,no-loot (vandalism/arson),n_NO_LOOT,slope_deg,b. Conley HAC 1000 m,-0.08253068918750885,0.014701593245272667,-5.613724159729884,-7.921682066445435,-10.53706780784328,-5.229837367033396,7269,4.785523199534033,Bartlett kernel in distance; point estimate unchanged,1.1058158206580568,,,
sfgov,cell,no-loot (vandalism/arson),n_NO_LOOT,slope_deg,b. Conley HAC 2000 m,-0.08253068918750885,0.015972349138608084,-5.167097743187764,-7.921682066445435,-10.759614221376735,-4.9935008740887294,7269,5.199167605758961,Bartlett kernel in distance; point estimate unchanged,1.2013987923537686,,,
